year	country	gov_right1	gov_cent1	gov_left1	gov_party	elect	vturn	womenpar	realgdpgr	inflation	debt_hist	deficit	ttl_labf	labfopar	unemp	pop	pop15_64	pop65	elderly
2011	Estonia	100.00	0.00	0.00	1	06/03/2011	63.5	19.8	7.54	4.98	9.39	1.16	690.30	77.63	12.30	1327.44	889.26	233.32	17.58
2012	Estonia	100.00	0.00	0.00	1		63.5	20.8	5.13	3.93	12.94	-0.26	687.20	78.08	10.00	1322.70	880.15	236.34	17.87
2013	Estonia	100.00	0.00	0.00	1		63.5	20.8	1.72	2.78	13.36	-0.17	682.80	78.42	8.60	1318.00	870.66	239.92	18.20
2014	Estonia	67.01	0.00	32.99	2		63.5	19.0	2.90	-0.11	13.66	0.77	677.30		7.40	1315.82	866.01	241.78	18.38
1960	Finland	0.00	100.00	0.00	1		75.0	15.0		3.42	12.57	2.33	2152.00	78.00	1.40	4430.00	2759.00	324.00	7.31
1961	Finland	0.00	96.40	0.00	1		75.0	15.0	7.61	1.69	10.66	2.21	2173.00	77.58	1.10	4461.00	2801.00	332.00	7.44
1962	Finland	19.65	71.65	0.00	1	04/02/1962	85.1	14.0	2.98	4.38	11.35	2.12	2185.00	76.75	1.20	4491.00	2847.00	338.00	7.53
1963	Finland	26.65	62.19	0.00	1		85.1	14.0	3.29	5.00	12.73	-0.11	2184.00	75.47	1.40	4523.00	2894.00	346.00	7.65
1964	Finland	11.03	19.30	0.00	1		85.1	14.0	5.24	10.28	12.93	-0.01	2214.00	75.54	1.40	4549.00	2931.00	357.00	7.85
1965	Finland	36.36	63.64	0.00	1		85.1	14.0	5.30	4.94	13.81	0.11	2211.00	74.75	1.30	4564.00	2958.00	367.00	8.04
1966	Finland	14.55	45.45	40.00	3	20/03/1966	84.9	16.5	2.37	3.87	13.83	0.23	2222.00	74.46	1.40	4581.00	2984.00	376.00	8.21
1967	Finland	0.00	33.33	66.67	4		84.9	16.5	2.17	5.38	14.18	1.23	2206.00	73.19	2.70	4606.00	3014.00	387.00	8.40
1968	Finland	6.49	33.33	60.18	3		84.9	16.5	2.30	9.19	14.16	1.43	2189.00	71.96	3.70	4626.00	3042.00	396.00	8.56
1969	Finland	8.33	33.33	58.33	3		84.9	16.5	9.59	2.21	13.51	1.82	2188.00	71.71	2.60	4624.00	3051.00	409.00	8.85
1970	Finland	11.62	39.30	49.08	3	15/03/1970	82.2	16.5	7.47	2.74	11.83	3.05	2197.00	72.01	1.80	4606.00	3051.00	421.00	9.14
1971	Finland	13.38	41.50	38.38	3		82.2	16.5	2.06	6.48	10.68	3.31	2203.00	71.76	2.10	4612.00	3070.00	435.00	9.43
1972	Finland	5.18	16.65	70.57	4	02/01/1972	81.4	21.5	7.60	6.66	9.72	2.50	2204.00	71.01	2.40	4640.00	3104.00	450.00	9.70
1973	Finland	12.50	37.50	43.75	3		81.4	21.5	6.60	10.75	7.92	4.51	2245.00	71.66	2.10	4666.00	3133.00	466.00	9.99
1974	Finland	12.50	37.50	43.75	3		81.4	21.5	3.07	16.94	6.29	3.41	2298.00	72.79	1.60	4691.00	3157.00	483.00	10.30
1975	Finland	12.04	30.14	37.62	3	21/09/1975	73.8	23.0	1.07	17.81	8.63	4.41	2302.00	72.53	2.30	4712.00	3174.00	500.00	10.61
1976	Finland	13.07	39.91	37.16	3		73.8	23.0	0.17	14.34	7.85	7.12	2404.00	75.46	3.90	4726.00	3186.00	516.00	10.92
1977	Finland	11.10	52.85	29.53	2		73.8	23.0	0.60	11.79	9.85	5.77	2405.00	75.27	5.90	4739.00	3195.00	533.00	11.25
1978	Finland	1.10	45.57	46.67	3		73.8	23.0	2.50	7.80	13.03	3.46	2404.00	74.96	7.30	4753.00	3207.00	548.00	11.53
1979	Finland	7.12	39.78	46.90	3	12/03/1979	75.3	26.0	6.72	7.47	13.95	3.09	2432.00	75.50	6.00	4765.00	3221.00	561.00	11.77
1980	Finland	11.76	35.29	47.06	3		75.3	26.0	5.09	11.59	13.45	3.43	2473.00	76.45	4.70	4779.00	3235.00	572.00	11.97
1981	Finland	11.76	35.29	47.06	3		75.3	26.0	1.27	11.31	13.81	4.78	2506.00	76.94	4.90	4800.00	3257.00	582.00	12.13
1982	Finland	11.76	35.33	47.06	3		75.3	26.0	3.10	9.58	16.12	2.82	2542.00	77.45	5.40	4827.00	3282.00	591.00	12.24
1983	Finland	11.76	41.18	47.06	3	20/03/1983	75.7	30.5	3.07	8.37	17.63	1.38	2557.00	77.37	5.50	4856.00	3305.00	600.00	12.36
1984	Finland	11.76	41.18	47.06	3		75.7	30.5	2.99	7.07	17.04	3.06	2575.00	77.42	5.20	4882.00	3326.00	605.00	12.39
1985	Finland	11.76	41.18	47.06	3		75.7	30.5	3.23	5.20	18.10	3.32	2596.00	77.75	4.90	4902.00	3339.00	612.00	12.48
1986	Finland	11.76	41.18	47.06	3		75.7	30.5	2.75	2.93	19.07	3.92	2596.00	77.65	5.20	4918.00	3343.00	623.00	12.67
1987	Finland	37.53	17.17	45.30	3	15/03/1987	72.1	31.5	3.62	4.11	19.58	1.63	2583.00	77.20	4.80	4932.00	3346.00	634.00	12.85
1988	Finland	50.00	5.56	44.44	3		72.1	31.5	5.15	5.09	18.49	5.08	2574.00	76.93	4.20	4947.00	3346.00	645.00	13.04
1989	Finland	50.00	5.56	44.44	3		72.1	31.5	5.42	6.59	16.26	6.73	2612.00	78.04	3.10	4964.00	3347.00	656.00	13.22
1990	Finland	47.35	7.27	45.32	3		72.1	31.5	0.14	6.15	16.10	5.31	2606.00	77.65	3.20	4986.00	3356.00	667.00	13.38
1991	Finland	48.91	36.26	14.83	2	17/03/1991	72.1	39.0	-5.92	4.31	24.33	-0.91	2571.00	76.29	6.60	5014.00	3370.00	679.00	13.54
1992	Finland	47.06	52.94	0.00	1		72.1	39.0	-3.32	2.92	43.71	-5.31	2526.00	74.62	11.70	5042.00	3385.00	690.00	13.69
1993	Finland	47.06	52.94	0.00	1		72.1	39.0	-0.73	2.19	56.58	-8.07	2504.00	73.73	16.30	5066.00	3396.00	701.00	13.84
1994	Finland	48.63	51.37	0.00	1		72.1	39.0	3.94	1.09	59.15	-6.47	2489.00	73.12	16.60	5088.00	3404.00	713.00	14.01
1995	Finland	41.99	13.97	40.03	3	19/03/1995	71.7	33.5	4.21	0.79	63.67	-5.93	2510.00	73.61	15.40	5108.00	3410.00	726.00	14.21
1996	Finland	38.89	0.00	55.56	3		71.7	33.5	3.66	0.63	64.38	-3.25	2521.00	73.78	14.60	5125.00	3417.00	738.00	14.40
1997	Finland	38.89	0.00	55.56	3		71.7	33.5	6.25	1.19	62.74	-1.21	2508.00	73.18	12.70	5140.00	3427.00	748.00	14.55
1998	Finland	38.89	0.00	55.56	3		71.7	33.5	5.43	1.40	59.32	1.64	2532.00	73.56	11.40	5153.00	3442.00	756.00	14.67
1999	Finland	42.86	0.00	51.58	3	21/03/1999	68.3	37.0	4.44	1.16	52.96	1.68	2578.00	74.62	10.20	5165.00	3455.00	763.00	14.77
2000	Finland	44.44	0.00	50.00	3		68.3	36.6	5.63	3.04	50.92	6.86	2608.90	75.31	9.80	5176.00	3464.00	772.00	14.91
2001	Finland	44.44	0.00	50.00	3		68.3	36.5	2.58	2.58	48.23	4.98	2626.30	75.64	9.10	5188.00	3472.00	782.00	15.07
2002	Finland	51.63	0.00	46.09	3		68.3	36.5	1.68	1.57	48.03	4.07	2630.00	75.62	9.10	5201.00	3478.00	793.00	15.25
2003	Finland	24.02	31.54	44.44	3	16/03/2003	69.7	37.5	1.99	0.88	49.48	2.44	2619.60	75.21	9.00	5213.00	3483.00	806.00	15.46
2004	Finland	11.11	44.44	44.44	3		69.7	37.5	3.93	0.19	49.56	2.21	2615.30	74.96	8.80	5228.00	3489.00	822.00	15.72
2005	Finland	11.11	44.44	44.44	3		69.7	37.5	2.78	0.62	46.44	2.59	2641.00	75.48	8.40	5246.00	3499.00	836.00	15.94
2006	Finland	11.11	44.44	44.44	3		69.7	38.0	4.05	1.57	43.94	3.93	2670.00	76.13	7.70	5267.00	3507.00	856.00	16.25
2007	Finland	38.49	41.32	20.19	2	18/03/2007	65.0	41.5	5.19	2.51	40.07	5.13	2695.00	76.58	6.90	5289.00	3519.00	872.00	16.49
2008	Finland	50.00	40.00	10.00	2		65.0	41.5	0.72	4.07	38.81	4.18	2726.00	77.07	6.40	5313.00	3537.00	884.00	16.64
2009	Finland	50.00	40.00	10.00	2		65.0	40.0	-8.27	0.00	49.53	-2.53	2698.00	76.04	8.20	5339.00	3548.00	901.00	16.88
2010	Finland	50.00	40.00	10.00	2		65.0	40.0	2.99	1.18	55.92	-2.61	2690.00	75.77	8.40	5363.00	3550.00	926.00	17.27
2011	Finland	45.83	21.63	32.54	2	17/04/2011	67.4	42.5	2.57	3.42	57.08	-1.04	2703.00	76.36	7.80	5388.00	3540.00	960.00	17.82
2012	Finland	42.11	5.26	52.63	3		67.4	42.5	-1.43	2.81	62.95	-2.18	2710.00	76.88	7.70	5414.00	3525.00	999.00	18.45
2013	Finland	42.11	5.26	52.63	3		67.4	42.5	-0.76	1.48	64.03	-2.61	2695.00	76.82	8.20	5439.00	3508.00	1037.00	19.07
2014	Finland	47.38	5.59	47.03	3		67.4	42.5	-0.70	1.04	70.64	-3.19	2699.00	77.47	8.70	5472.00	3484.00	1091.00	19.94
1960	France	42.86	19.05	4.76	2		77.2	1.5		4.14	94.05		19905.00	70.29	1.60	45684.23	28320.29	5317.38	11.64
1961	France	42.86	19.05	4.76	2		77.2	1.5	5.12	2.40	86.79		19878.00	69.62	1.40	46162.83	28552.60	5408.18	11.72
1962	France	63.56	6.97	1.36	2	18/11/1962	68.7	1.9	6.54	5.33	77.88		19911.00	68.33	1.60	46997.70	29137.70	5544.15	11.80
1963	France	72.73	0.00	0.00	1		68.7	1.9	6.43	5.00	73.26	-0.05	20110.00	67.63	1.60	47816.22	29736.29	5663.88	11.85
1964	France	72.73	0.00	0.00	1		68.7	1.9	6.57	3.21	64.68	0.51	20282.00	67.44	1.20	48310.41	30072.73	5777.42	11.96
1965	France	72.73	0.00	0.00	1		68.7	1.9	4.86	2.70	58.08	0.53	20407.00	67.20	1.50	48757.80	30368.49	5905.27	12.11
1966	France	66.80	0.00	0.00	1		68.7	1.9	5.24	2.60	50.49	0.48	20577.00	67.20	1.60	49163.66	30618.32	6039.57	12.28
1967	France	57.77	20.02	0.00	1	05/03/1967	81.1	2.3	4.95	2.79	53.13	0.02	20737.00	67.24	2.10	49548.30	30839.50	6184.23	12.48
1968	France	64.64	17.79	0.00	1	23/06/1968	80.0	2.1	4.42	4.54	52.14	-0.57	20805.00	66.98	2.60	49915.40	31063.62	6312.01	12.65
1969	France	79.25	13.31	0.00	1		80.0	2.1	7.19	6.05	47.52	0.70	21043.00	67.17	2.20	50317.98	31327.22	6421.81	12.76
1970	France	84.21	15.79	0.00	1		80.0	2.1	6.09	5.30	43.71	0.68	21368.00	67.55	2.20	50772.23	31631.83	6535.61	12.87
1971	France	84.21	15.79	0.00	1		80.0	2.1	5.35	5.40	40.95	0.46	21516.00	67.37	2.40	51251.09	31936.36	6655.25	12.99
1972	France	84.59	15.41	0.00	1		80.0	2.1	4.54	6.06	38.43	0.47	21676.00	67.27	2.40	51700.91	32221.44	6768.58	13.09
1973	France	86.01	3.86	0.00	1	04/03/1973	81.3	2.7	6.31	7.38	35.40	0.45	21961.00	67.57	2.20	52118.30	32502.13	6881.20	13.20
1974	France	76.12	3.73	3.73	2		81.3	2.7	4.29	13.65	33.10	0.23	22184.00	67.70	2.20	52460.36	32768.88	6993.73	13.33
1975	France	68.75	6.25	6.25	2		81.3	2.7	-0.98	11.69	33.37	-1.85	22198.00	67.29	3.30	52699.17	32987.15	7100.26	13.47
1976	France	61.73	5.99	10.15	2		81.3	2.7	4.31	9.63	31.66	-0.56	22464.00	67.63	3.60	52908.67	33214.92	7189.58	13.59
1977	France	42.41	11.46	14.14	2		81.3	2.7	3.45	9.49	31.24	-0.64	22771.00	68.04	4.00	53145.29	33464.84	7287.12	13.71
1978	France	32.55	36.93	3.40	2	12/03/1978	83.2	4.3	3.98	9.25	32.39	-1.79	22918.00	68.00	4.10	53376.32	33702.44	7396.36	13.86
1979	France	30.00	45.00	0.00	1		83.2	4.3	3.56	10.65	32.55	-0.46	23101.00	68.02	4.70	53606.23	33963.91	7493.75	13.98
1980	France	30.00	45.00	0.00	1		83.2	4.3	1.59	13.56	32.01	-0.41	23230.00	67.69	5.00	53880.01	34320.39	7503.46	13.93
1981	France	11.59	17.38	61.37	4	14/06/1981	70.9	7.1	1.08	13.31	31.07	-2.38	23356.00	67.12	6.00	54181.82	34795.85	7390.78	13.64
1982	France	0.00	0.00	100.00	5		70.9	7.1	2.51	11.98	35.23	-2.81	23553.00	66.75	6.60	54492.49	35285.04	7255.14	13.31
1983	France	0.00	0.00	100.00	5		70.9	7.1	1.26	9.46	36.25	-2.51	23609.00	66.08	7.30	54772.42	35727.55	7144.67	13.04
1984	France	0.00	0.00	100.00	5		70.9	7.1	1.52	7.67	38.12	-2.71	23709.00	65.62	8.40	55026.08	36130.43	7073.33	12.85
1985	France	0.00	0.00	100.00	5		70.9	7.1	1.62	5.83	39.85	-2.94	23766.09	65.28	8.70	55284.27	36404.63	7139.97	12.92
1986	France	44.03	25.16	21.37	2	16/03/1986	78.5	6.6	2.35	2.54	40.73	-3.17	23907.58	65.34	8.90	55546.51	36588.78	7311.92	13.16
1987	France	56.00	32.00	0.00	1		78.5	6.6	2.58	3.29	42.23	-1.98	24021.53	65.27	8.90	55823.96	36804.71	7477.08	13.39
1988	France	20.35	12.95	45.03	3	05/06/1988	66.2	6.9	4.73	2.70	41.89	-2.53	24157.38	65.24	8.50	56117.98	37027.55	7638.89	13.61
1989	France	0.00	0.00	70.00	5		66.2	6.9	4.35	3.50	41.76	-1.75	24341.00	65.39	8.10	56423.41	37226.73	7795.49	13.82
1990	France	0.00	0.00	70.00	5		66.2	6.9	2.91	3.19	41.27	-2.40	25416.05	68.03	7.90	56708.83	37360.23	7955.06	14.03
1991	France	0.00	0.00	79.49	5		66.2	6.9	1.04	3.21	42.29	-2.83	25470.75	68.03	8.10	56975.60	37438.70	8121.94	14.26
1992	France	0.00	0.00	76.82	5		66.2	6.9	1.60	2.36	46.82	-4.55	25594.46	68.20	9.00	57239.85	37527.01	8285.68	14.48
1993	France	38.08	35.54	17.66	2	28/03/1993	69.3	6.4	-0.61	2.10	54.29	-6.30	25535.79	67.88	10.10	57467.09	37617.36	8445.00	14.70
1994	France	48.28	48.28	0.00	1		69.3	6.4	2.35	1.66	58.38	-5.37	25713.22	68.21	10.40	57658.77	37695.37	8605.19	14.92
1995	France	54.74	41.29	0.00	1		69.3	6.4	2.09	1.80	66.59	-5.12	25770.53	68.21	10.20	57844.25	37783.67	8772.43	15.17
1996	France	58.62	34.48	0.00	1		69.3	6.4	1.39	1.98	72.59	-3.90	25976.48	68.57	10.50	58025.99	37883.93	8934.78	15.40
1997	France	24.73	14.55	57.81	3	01/06/1997	68.0	10.9	2.34	1.20	75.25	-3.63	26111.21	68.73	10.70	58207.49	37988.26	9087.75	15.61
1998	France	0.00	0.00	100.00	5		68.0	10.9	3.56	0.65	77.03	-2.41	26402.56	69.32	10.30	58397.79	38085.44	9224.80	15.80
1999	France	0.00	0.00	100.00	5		68.0	10.9	3.41	0.54	73.46	-1.58	26797.61	70.11	10.00	58677.41	38222.42	9358.04	15.95
2000	France	0.00	0.00	100.00	5		68.0	10.9	3.88	1.68	71.90	-1.32	27062.47	70.42	8.60	59062.39	38427.68	9496.11	16.08
2001	France	0.00	0.00	100.00	5		68.0	10.9	1.95	1.63	70.99	-1.44	27320.25	70.65	7.80	59476.23	38671.28	9628.85	16.19
2002	France	43.83	5.05	34.52	3	16/06/2002	64.4	12.2	1.12	1.92	74.65	-3.09	27558.64	70.77	7.90	59893.87	38938.71	9756.92	16.29
2003	France	66.67	7.41	0.00	1		64.4	12.2	0.82	2.10	78.53	-3.86	27762.43	70.78	8.50	60303.63	39222.53	9869.44	16.37
2004	France	86.94	4.25	0.00	1		64.4	12.2	2.79	2.14	80.07	-3.49	27915.89	70.64	8.90	60734.34	39515.88	9994.12	16.46
2005	France	89.75	3.23	0.00	1		64.4	12.2	1.61	1.75	81.67	-3.17	28101.60	70.57	8.90	61181.50	39820.77	10114.89	16.53
2006	France	87.10	3.23	0.00	1		64.4	12.2	2.37	1.68	76.90	-2.34	28359.39	70.68	8.80	61597.48	40122.15	10185.56	16.54
2007	France	79.54	5.11	0.00	1	10/06/2007	60.4	18.2	2.36	1.49	75.66	-2.54	28518.00	70.65	8.00	61965.05	40365.11	10254.60	16.55
2008	France	75.00	6.25	0.00	1		60.4	18.2	0.20	2.81	81.58	-3.18	28490.62	70.31	7.40	62300.29	40523.34	10361.17	16.63
2009	France	82.84	5.57	0.00	1		60.4	18.9	-2.94	0.09	93.20	-7.16	28672.97	70.57	9.10	62615.47	40631.98	10480.64	16.74
2010	France	81.14	4.57	0.00	1		60.4	18.9	1.97	1.53	96.83	-6.79	28753.54	70.58	9.30	62917.79	40737.69	10603.54	16.85
2011	France	95.65	0.00	0.00	1		60.4	18.9	2.08	2.11	100.70	-5.10	28937.95	71.00	9.20	63223.16	40760.11	10819.97	17.11
2012	France	35.54	0.00	62.84	3	17/06/2012	57.2	26.9	0.18	1.95	110.44	-4.81	29208.99	71.81	9.80	63514.00	40676.33	11129.91	17.52
2013	France	0.00	0.00	100.00	5		57.2	26.9	0.64	0.86	110.92	-4.03	29399.51	72.45	10.30	63786.14	40578.89	11449.54	17.95
2014	France	0.00	0.00	100.00	5		57.2	26.2	0.63	0.51	120.33	-3.96			10.30	64062.25			
1960	Germany	5.85	94.15	0.00	1		87.8	9.2		1.54	16.28	3.13	26518.00	70.34	0.70	55585.00	37698.00	6029.00	10.85
1961	Germany	3.13	96.87	0.00	1	17/09/1961	87.7	8.3	4.72	2.29	15.60	2.87	26772.00	70.95	0.50	56175.00	37735.00	6255.00	11.13
1962	Germany	22.18	77.82	0.00	1		87.7	8.3	4.71	2.84	15.18	1.48	26845.00	70.72	0.40	56837.00	37958.00	6415.00	11.29
1963	Germany	24.06	75.94	0.00	1		87.7	8.3	2.93	2.97	15.96	0.92	26930.00	70.75	0.50	57389.00	38063.00	6595.00	11.49
1964	Germany	25.00	75.00	0.00	1		87.7	8.3	6.42	2.34	16.01	0.74	26922.00	70.52	0.50	57971.00	38176.00	6806.00	11.74
1965	Germany	23.91	76.09	0.00	1	19/09/1965	86.8	6.9	5.26	3.24	16.57	-0.62	27034.00	70.49	0.40	58619.00	38350.00	7028.00	11.99
1966	Germany	15.66	80.52	3.82	2		86.8	6.9	2.89	3.53	17.07	-0.18	26962.00	70.20	0.50	59148.00	38410.00	7245.00	12.25
1967	Germany	0.00	55.00	45.00	3		86.8	6.9	-0.25	1.80	19.69	-1.46	26409.00	69.24	1.40	59286.00	38141.00	7459.00	12.58
1968	Germany	0.00	55.00	45.00	3		86.8	6.9	5.54	1.47	20.27	-0.83	26291.00	69.21	1.00	59500.00	37987.00	7654.00	12.86
1969	Germany	3.65	44.30	50.84	3	28/09/1969	86.7	6.6	7.46	1.91	18.39	1.12	26535.00	69.43	0.60	60067.00	38219.00	7837.00	13.05
1970	Germany	18.75	0.00	75.00	4		86.7	6.6	5.04	3.45	17.48	0.52	26817.00	69.47	0.50	60651.00	38602.00	7991.00	13.18
1971	Germany	18.75	0.00	75.00	4		86.7	6.6	3.01	5.24	17.64	0.16	26957.00	69.18	0.60	61302.00	38967.00	8221.00	13.41
1972	Germany	19.17	0.00	78.49	4	19/11/1972	91.1	5.8	4.27	5.48	18.03	-0.36	27121.00	69.15	0.80	61672.00	39223.00	8408.00	13.63
1973	Germany	27.78	0.00	72.22	4		91.1	5.8	4.97	7.03	16.68	1.12	27433.00	69.43	0.80	61976.00	39509.00	8596.00	13.87
1974	Germany	26.03	0.00	73.97	4		91.1	5.8	1.01	6.99	17.56	-1.64	27411.00	69.13	1.80	62054.00	39654.00	8777.00	14.14
1975	Germany	25.00	0.00	75.00	4		91.1	5.8	-0.89	5.91	22.64	-5.59	27184.00	68.64	3.30	61829.00	39606.00	8937.00	14.45
1976	Germany	25.00	0.00	75.00	4	30/10/1976	90.7	7.3	4.45	4.25	24.91	-3.43	27034.00	68.28	3.30	61531.00	39593.00	9067.00	14.74
1977	Germany	25.00	0.00	75.00	4		90.7	7.3	3.50	3.73	26.16	-2.50	27038.00	68.05	3.20	61400.00	39732.00	9220.00	15.02
1978	Germany	25.00	0.00	75.00	4		90.7	7.3	3.11	2.72	27.74	-2.58	27212.00	68.12	3.10	61327.00	39945.00	9374.00	15.29
1979	Germany	25.00	0.00	75.00	4		90.7	7.3	4.29	4.04	28.53	-2.66	27528.00	68.33	2.70	61359.00	40287.00	9499.00	15.48
1980	Germany	24.77	0.00	75.23	4	09/10/1980	88.6	8.5	1.30	5.44	30.23	-2.94	27948.00	68.45	2.70	61566.00	40828.00	9551.00	15.51
1981	Germany	23.53	0.00	76.47	4		88.6	8.5	0.65	6.34	33.64	-3.90	28305.00	68.33	3.90	61682.00	41427.00	9452.00	15.32
1982	Germany	22.43	18.65	58.92	3		88.6	8.5	-0.51	5.24	36.48	-3.44	28558.00	68.04	5.60	61638.00	41973.00	9273.00	15.04
1983	Germany	19.07	80.93	0.00	1	06/03/1983	88.4	9.8	1.47	3.29	38.23	-2.86	28605.00	67.48	6.90	61423.00	42389.00	9077.00	14.78
1984	Germany	17.65	82.35	0.00	1		88.4	9.8	2.91	2.41	38.99	-1.98	28298.00	66.38	7.10	61175.00	42631.00	8980.00	14.68
1985	Germany	17.65	82.35	0.00	1		88.4	9.8	2.60	2.07	39.49	-1.15	28434.00	66.56	7.20	61024.00	42721.00	9052.00	14.83
1986	Germany	17.65	82.35	0.00	1		88.4	9.8	2.27	-0.13	39.56	-1.15	28768.00	67.25	6.60	61066.00	42776.00	9198.00	15.06
1987	Germany	20.41	79.59	0.00	1	25/01/1987	84.3	15.4	1.28	0.25	40.91	-1.81	29036.00	67.80	6.40	61077.00	42826.00	9348.00	15.31
1988	Germany	21.05	78.95	0.00	1		84.3	15.4	3.44	1.27	41.39	-1.98	29220.00	68.02	6.30	61450.00	42959.00	9462.00	15.40
1989	Germany	20.52	79.48	0.00	1		84.3	15.4	4.05	2.78	39.83	0.08	29624.00	68.48	5.60	62063.00	43258.00	9545.00	15.38
1990	Germany	20.00	80.00	0.00	1	02/12/1990	77.8	20.5	5.48	2.70	40.38	-1.89	30771.00	69.54	4.80	63254.00	44250.00	9686.00	15.31
1991	Germany	24.77	75.23	0.00	1		77.8	20.5	5.20	4.05	36.82	-3.16	39577.00	71.55	5.60	79984.00	55310.00	11679.00	14.60
1992	Germany	25.00	75.00	0.00	1		77.8	20.5	1.51	5.06	39.86	-2.60	39490.00	71.46	6.60	80595.00	55259.00	12309.00	15.27
1993	Germany	25.00	75.00	0.00	1		77.8	20.5	-0.98	4.47	44.86	-3.09	39557.00	71.34	7.80	81179.00	55452.00	12712.00	15.66
1994	Germany	23.97	76.03	0.00	1	16/10/1994	79.0	22.0	2.52	2.69	45.46	-2.51	39492.00	71.09	8.40	81422.00	55550.00	12890.00	15.83
1995	Germany	16.67	83.33	0.00	1		79.0	26.3	1.82	1.71	54.21	-9.42	39376.00	71.01	8.20	81661.00	55452.00	13184.00	16.14
1996	Germany	16.67	83.33	0.00	1		79.0	26.2	0.85	1.45	57.27	-3.54	39550.00	71.20	8.90	81895.00	55551.00	13355.00	16.31
1997	Germany	16.67	83.33	0.00	1		79.0	26.2	1.90	1.94	58.69	-2.94	39804.00	71.51	9.60	82052.00	55659.00	13527.00	16.49
1998	Germany	14.46	67.46	18.08	2	27/09/1998	82.2	30.9	1.78	0.91	60.53	-2.53	40131.00	72.11	9.40	82029.00	55653.00	13640.00	16.63
1999	Germany	0.00	0.00	100.00	5		82.2	30.9	1.85	0.59	60.13	-1.70	39614.00	71.24	8.60	82024.00	55610.00	13816.00	16.84
2000	Germany	0.00	0.00	100.00	5		82.2	30.9	3.20	1.44	59.79	0.86	39533.00	71.32	7.90	82160.00	55433.00	14163.00	17.24
2001	Germany	0.00	0.00	100.00	5		82.2	31.1	1.84	1.98	58.85	-3.11	39686.00	71.75	7.80	82277.00	55312.00	14515.00	17.64
2002	Germany	0.00	0.00	100.00	5	22/09/2002	79.1	32.2	0.02	1.42	61.25	-3.94	39641.00	71.77	8.60	82456.00	55231.00	14896.00	18.07
2003	Germany	0.00	0.00	100.00	5		79.1	32.2	-0.73	1.03	64.73	-4.17	39507.00	71.75	9.70	82502.00	55059.00	15332.00	18.58
2004	Germany	0.00	0.00	100.00	5		79.1	32.8	0.70	1.67	67.95	-3.75	39948.00	72.94	10.40	82491.00	54772.00	15897.00	19.27
2005	Germany	0.00	5.48	94.52	4	18/09/2005	77.7	31.8	0.88	1.55	70.37	-3.42	40928.00	74.24	11.20	82465.00	55129.00	15855.00	19.23
2006	Germany	0.00	50.00	50.00	3		77.7	31.6	3.88	1.58	68.34	-1.72	41429.00	75.52	10.10	82369.00	54858.00	16257.00	19.74
2007	Germany	0.00	50.00	50.00	3		77.7	31.6	3.38	2.30	64.23	0.19	41590.00	76.24	8.50	82257.00	54549.00	16645.00	20.24
2008	Germany	0.00	50.00	50.00	3		77.7	32.2	0.81	2.63	68.22	-0.18	41677.00	76.62	7.40	82135.00	54393.00	16824.00	20.48
2009	Germany	5.57	53.34	41.10	3	27/09/2009	70.8	32.8	-5.57	0.31	75.61	-3.24	41699.00	77.07	7.60	81904.00	54103.00	17032.00	20.80
2010	Germany	31.25	68.75	0.00	1		70.8	32.8	3.94	1.10	84.24	-4.23	41684.00	77.33	7.00	81715.00	53902.00	17145.00	20.98
2011	Germany	31.25	68.75	0.00	1		70.8	32.9	3.72	2.08	83.62	-0.96	41186.00	78.27	5.80	80249.00	52619.00	16848.00	20.99
2012	Germany	31.25	68.75	0.00	1		70.8	32.9	0.62	2.01	86.33	-0.10	41330.00	78.37	5.40	80413.00	52739.00	16968.00	21.10
2013	Germany	29.97	68.49	1.54	2	22/09/2013	71.5	36.5	0.41	1.50	81.43	-0.14	41693.00	78.89	5.20	80611.00	52848.00	17148.00	21.27
2014	Germany	0.00	62.50	37.50	3		71.5	36.5	1.58	0.91	82.11	0.29	41943.00	79.18	5.00	80896.00	52970.00	17351.00	21.45
1960	Greece	100.00	0.00	0.00	1		75.5	1.3		1.48	8.68	0.24	3606.00		5.60	8331.72	5470.10	686.10	8.23
1961	Greece	87.95	0.00	0.00	1	29/10/1961	81.9	0.7	13.20	2.10	9.06	0.71	3639.00	66.14	5.50	8398.05	5502.14	698.85	8.32
1962	Greece	100.00	0.00	0.00	1		81.9	0.7	0.37	-0.48	9.79	0.56	3547.00		4.80	8448.23	5548.59	717.48	8.49
1963	Greece	60.82	0.00	0.00	1	03/11/1963	83.0	0.3	11.85	3.18	11.60	1.12	3494.00		4.80	8479.63	5568.51	737.81	8.70
1964	Greece	86.61	0.00	0.00	1	16/02/1964	81.7	0.7	9.41	0.62	12.46	1.01	3438.00		4.60	8510.43	5575.64	756.49	8.89
1965	Greece	100.00	0.00	0.00	1		81.7	0.7	10.77	3.22	12.83	0.40	3420.00		4.80	8550.33	5592.39	773.50	9.05
1966	Greece	97.26	0.00	0.00	1		81.7	0.7	6.50	4.90	14.48	0.58	3395.00		5.00	8613.65	5631.25	795.14	9.23
1967	Greece	16.36	0.00	0.00	1				5.67	1.84	16.19	-0.15	3368.00		5.40	8684.09	5674.08	817.75	9.42
1968	Greece								7.20	0.14	17.44	0.43	3335.00		5.60	8740.77	5700.73	839.52	9.60
1969	Greece								11.56	2.64	18.95	1.06	3312.00		5.20	8772.76	5695.21	875.28	9.98
