Scientific_Name,Family,Genus,Species,Brain_Size_Species_Mean,Brain_Size_Female_Mean,Brain_size_Ref,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,Mass_Ref,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,Social_Organization_Ref,InterbirthInterval_d,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,Life_History_Ref,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,Climate_Ref,HomeRange_km2,HomeRangeRef,DayLength_km,DayLengthRef,Territoriality,Fruit,Leaves,Fauna,DietRef1,Canine_Dimorphism,Canine_Dimorphism_Ref,Feed,Move,Rest,Social,Activity_Budget_Ref
Cercopithecus_wolfi,Cercopithecidae,Cercopithecus,wolfi,61.45,57.20,Isler et al 2008,3910.0,2870.0,1.362,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,1.883,Plavcan & Ruff 2008,,,,,
Cheirogaleus_major,Cheirogalidae,Cheirogaleus,major,5.81,5.63,Isler et al 2008,438.0,362.0,1.210,Isler et al 2008,1,1,1,,Kappeler 1997,,65,47.14,180,2.26,Jones et al. 2009,-18.76,1676.3,20.3,1320.2,1592.7,Jones et al. 2009,0.020,Jones et al. 2009,,,,,,,,,,,,,,
Cheirogaleus_medius,Cheirogalidae,Cheirogaleus,medius,2.60,2.60,Isler et al 2008,140.0,139.0,1.007,Isler et al 2008,1,1,1,,Kappeler 1997,365,61,60.65,231.6,2.04,Jones et al. 2009,-19.03,850.8,24.0,899.7,1625.8,Jones et al. 2009,0.020,Jones et al. 2009,,,,,,,,0.942,Plavcan & Ruff 2008,,,,,
Chiropotes_satanas,Pitheciidae,Chiropotes,satanas,48.33,47.51,Isler et al 2008,3100.0,2960.0,1.047,Isler et al 2008,18.5,1.5,9,6.00,"Norconk 1996,Peetz 2001",,160,,235.2,1,Jones et al. 2009,,,,,,,2.250,"van Roosmalen et al. 1981,Ayres 1981",2.5,"van Roosmalen et al. 1981,Ayres 1981",1.4770,15.45,8.17,0.5,Campbell et al. 2007,1.155,Plavcan & Ruff 2008,,,,,
Chlorocebus_aethiops,Cercopithecidae,Chlorocebus,aethiops,65.00,59.00,Isler et al 2008,4400.0,3039.0,1.448,Isler et al 2008,19.5,4.1,7.7,1.88,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,357,162,182,369.6,1,Jones et al. 2009,,,,,,,,,1.2,Nunn et al. 2003,,10.6,14.3,15.4,Campbell et al. 2007,1.583,Plavcan & Ruff 2008,34.00,21.13,25.63,13.63,Kamilar 2006
Chlorocebus_pygerythrus,Cercopithecidae,Chlorocebus,pygerythrus,62.58,59.42,Isler et al 2008,5071.2,3575.8,1.418,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorocebus_sabaeus,Cercopithecidae,Chlorocebus,sabaeus,64.91,59.39,Isler et al 2008,4923.6,3700.0,1.331,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colobus_angolensis,Cercopithecidae,Colobus,angolensis,77.70,72.30,Isler et al 2008,9680.0,7570.0,1.279,Isler et al 2008,18.25,3.5,7,2.00,Kamilar 2006,,,,423.6,1.01,Jones et al. 2009,-4.16,1229.1,23.3,1225.3,1538.5,Jones et al. 2009,3.710,Campbell et al. 2007,0.983,Campbell et al. 2007,0.4523,22.6,53.3,0.0,Campbell et al. 2007; Kappeler & Pereira 2003,1.845,Plavcan & Ruff 2008,37.50,34.50,22.00,5.00,Campbell et al. 2007
Colobus_guereza,Cercopithecidae,Colobus,guereza,74.39,69.77,Isler et al 2008,9673.0,7505.6,1.289,Isler et al 2008,12,1.5,2.9,1.93,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,486.66,175,387.79,294,1,Jones et al. 2009,5.15,1089.2,23.2,1126.5,1560.5,Jones et al. 2009,0.3,Campbell et al. 2007,0.48,Nunn et al. 2003,0.7350,19.0,73.0,0.0,Campbell et al. 2007; Kappeler & Pereira 2003,1.459,Plavcan & Ruff 2008,57.50,21.25,10.25,8.25,Campbell et al. 2007
Colobus_polykomos,Cercopithecidae,Colobus,polykomos,73.83,70.23,Isler et al 2008,9900.0,8300.0,1.193,Isler et al 2008,11,4,4,1.00,Hill & Lee 1998,442.41,185,213.78,366,1,Jones et al. 2009,9.06,1807.6,25.7,1090.5,1514.6,Jones et al. 2009,0.5,Campbell et al. 2007,0.57,Nunn et al. 2003,0.7108,41.5,53.5,0.0,Campbell et al. 2007; Kappeler & Pereira 2003,1.770,Plavcan & Ruff 2008,61.00,28.00,9.00,1.00,Campbell et al. 2007
Colobus_satanas,Cercopithecidae,Colobus,satanas,74.90,71.80,Isler et al 2008,10400.0,7420.0,1.402,Isler et al 2008,13.5,2.3,6,2.61,Kamilar 2006,,192.76,,,0.99,Jones et al. 2009,1.97,1654.6,24.1,1329.5,1500.3,Jones et al. 2009,2.720,Campbell et al. 2007,0.607,Campbell et al. 2007,0.3262,56.0,34.0,0.0,Campbell et al. 2007; Kappeler & Pereira 2003,,,60.00,23.00,4.00,8.10,Campbell et al. 2007
Colobus_vellerosus,Cercopithecidae,Colobus,vellerosus,73.07,69.73,Isler et al 2008,8420.0,7220.0,1.166,Isler et al 2008,,,,,,,,,,1.02,Jones et al. 2009,7.44,1067.2,26.8,1173.1,1620.5,Jones et al. 2009,0.290,Jones et al. 2009,,,,,,,,,,59.00,24.00,15.00,3.00,Campbell et al. 2007
Daubentonia_madagascariensis,Daubentonidae,Daubentonia,madagascariensis,44.85,47.19,Isler et al 2008,2620.0,2490.0,1.052,Isler et al 2008,1,1,1,,Kappeler 1997,760.41,167,197.7,291.6,1.01,Jones et al. 2009,-18.79,1491.3,21.7,1216.3,1601.3,Jones et al. 2009,0.356,Campbell et al. 2007,2.95,Pontzer and Kamilar 2006,4.3817,,,,,,,,,,,
Erythrocebus_patas,Cercopithecidae,Erythrocebus,patas,97.73,88.86,Isler et al 2008,12400.0,6500.0,1.908,Isler et al 2008,28.2,1.5,10.4,6.93,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,365,167,211.79,286.8,1.01,Jones et al. 2009,7.97,733.9,26.4,760.4,1596.5,Jones et al. 2009,28.240,Jones et al. 2009,3.2,Nunn et al. 2003,0.5337,10.0,2.0,36.0,Campbell et al. 2007,2.132,Plavcan & Ruff 2008,,,,,
Eulemur_albifrons,Lemuridae,Eulemur,albifrons,21.45,,Isler et al 2008,2390.0,2281.0,1.048,Isler et al 2008,9,3.5,3,0.86,Ossi and Kamilar 2006,,,,,,,,,,,,,0.130,Vasey 2000,0.9825,Ossi and Kamilar 2006,2.4149,69.0,11.5,,Ossi and Kamilar 2006,,,22.0,22.0,56.0,,Ossi and Kamilar 2006
Eulemur_albocollaris,Lemuridae,Eulemur,albocollaris,22.10,,Isler et al 2008,2150.0,2130.0,1.009,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulemur_collaris,Lemuridae,Eulemur,collaris,,,,,,,,7,3,2.5,0.83,Ossi and Kamilar 2006,,,,,,,,,,,,,0.700,Ossi and Kamilar 2006,2.5,Ossi and Kamilar 2006,2.6481,79.4,5.2,,Ossi and Kamilar 2006,,,23.4,18.4,55.7,,Ossi and Kamilar 2006
Eulemur_coronatus,Lemuridae,Eulemur,coronatus,20.65,21.91,Isler et al 2008,1280.0,1080.0,1.185,Isler et al 2008,9.25,4.13,3.75,0.91,Ossi and Kamilar 2006,,126,,220.8,1.53,Jones et al. 2009,-13.06,1050.9,23.8,1253.3,1528.0,Jones et al. 2009,0.123,Ossi and Kamilar 2006,0.912,Ossi and Kamilar 2006,2.3046,81.9,3.3,,Ossi and Kamilar 2006,1.116,Plavcan & Ruff 2008,19.4,7.0,44.0,4.3,Ossi and Kamilar 2006; Sussman et al. 2005
Eulemur_fulvus,Lemuridae,Eulemur,fulvus,25.77,25.39,Isler et al 2008,2250.0,2333.3,0.964,Isler et al 2008,8.9,3,3.5,1.17,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,547.5,118,134.64,444,1.1,Jones et al. 2009,-16.64,1561.3,21.4,1179.3,1588.5,Jones et al. 2009,0.162,Ossi and Kamilar 2006,0.447,Ossi and Kamilar 2006,0.9842,68.7,25.6,0,Ossi and Kamilar 2006,1.176,Plavcan & Ruff 2008,18.40,15.60,58.90,2.48,Kamilar 2006
Eulemur_macaco,Lemuridae,Eulemur,macaco,24.51,24.92,Isler et al 2008,2350.0,2430.0,0.967,Isler et al 2008,10,3.4,3.1,0.91,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,365,127,143.28,360,1.04,Jones et al. 2009,-13.94,1341.9,22.3,1188.6,1717.6,Jones et al. 2009,0.053,Ossi and Kamilar 2006,,,,64.3,23,0,Ossi and Kamilar 2006,1.020,Plavcan & Ruff 2008,13.6,16.4,62.8,,Ossi and Kamilar 2006
Eulemur_mongoz,Lemuridae,Eulemur,mongoz,20.17,19.69,Isler et al 2008,1143.3,1281.5,0.892,Isler et al 2008,2.93,1,1,1.00,Ossi and Kamilar 2006,365,128,151.13,360,1.11,Jones et al. 2009,-16.11,1258.8,26.2,932.2,1603.7,Jones et al. 2009,0.042,Ossi and Kamilar 2006,0.712,Pontzer and Kamilar 2006,3.0789,63.3,19.3,0,Ossi and Kamilar 2006,1.197,Plavcan & Ruff 2008,9.0,9.5,69.1,4,Ossi and Kamilar 2006; Sussman et al. 2005
Eulemur_rubriventer,Lemuridae,Eulemur,rubriventer,26.23,26.93,Isler et al 2008,1980.0,1940.0,1.021,Isler et al 2008,3,1,1,1.00,Ossi and Kamilar 2006,,130,151.22,240,1.01,Jones et al. 2009,-18.45,1781.1,19.4,1344.0,1575.5,Jones et al. 2009,0.200,Ossi and Kamilar 2006,0.444,Ossi and Kamilar 2006,0.8799,81.0,15.0,,Ossi and Kamilar 2006,1.051,Plavcan & Ruff 2008,16.0,21.0,60.0,2,Ossi and Kamilar 2006; Sussman et al. 2005
Eulemur_rufus,Lemuridae,Eulemur,rufus,25.40,27.50,Isler et al 2008,2170.0,2270.0,0.956,Isler et al 2008,9.17,4.1,2.6,0.63,Ossi and Kamilar 2006,,,,,,,-19.51,1068.8,22.8,1004.1,1547.0,Jones et al. 2009,0.584,Ossi and Kamilar 2006,0.8475,Ossi and Kamilar 2006,0.9828,68.4,24.1,,Ossi and Kamilar 2006,,,18.0,16.2,61.8,,Ossi and Kamilar 2006
Eulemur_sanfordi,Lemuridae,Eulemur,sanfordi,,,,1870.0,1830.0,1.022,Smith and Jungers 1997,5,2.25,2.13,0.95,Ossi and Kamilar 2006,,,,,,,-12.78,1013.1,25.2,1193.0,1510.0,Jones et al. 2009,0.070,Freed 1996,0.758,Ossi and Kamilar 2006,2.5390,89.1,2.2,,Ossi and Kamilar 2006,,,17.7,11.0,59.2,,Ossi and Kamilar 2006
Euoticus_elegantulus,Lorisidae,Euoticus,elegantulus,5.53,5.48,Isler et al 2008,287.0,261.0,1.100,Isler et al 2008,,,,,,182,122,60,180,0.99,Jones et al. 2009,-0.26,1497.1,24.4,1298.2,1499.5,Jones et al. 2009,,,,,,,,,,1.062,Plavcan & Ruff 2008,,,,,
Galago_matschiei,Galagidae,Galago,matschiei,4.62,4.43,Isler et al 2008,207.0,212.0,0.976,Isler et al 2008,,,,,,,,,,0.99,Jones et al. 2009,-0.33,1165.0,21.5,1391.6,1568.0,Jones et al. 2009,,,,,,,,,,,,,,,,
Galago_moholi,Galagidae,Galago,moholi,3.71,3.64,Isler et al 2008,149.6,147.2,1.017,Isler et al 2008,1,1,1,,Kamilar 2006,182.5,123,90.46,198,1.6,Jones et al. 2009,-13.46,801.2,21.7,852.2,1461.9,Jones et al. 2009,0.040,Jones et al. 2009,,,,,,,,1.062,Plavcan & Ruff 2008,63.90,25.00,4.50,12.00,Campbell et al. 2007
Galago_senegalensis,Galagidae,Galago,senegalensis,3.96,3.90,Isler et al 2008,200.3,188.0,1.066,Isler et al 2008,1,1,1,,Kamilar 2006,219,126,93.93,204,1.5,Jones et al. 2009,1.95,800.8,25.0,836.6,1594.8,Jones et al. 2009,0.080,Jones et al. 2009,,,,6,,,,1.111,Plavcan & Ruff 2008,,,,,
Galagoides_demidoff,Galagidae,Galagoides,demidoff,2.65,2.66,Isler et al 2008,76.2,73.1,1.042,Isler et al 2008,10,,,,van Schaik et al. 1999,365,111,43.47,168,1.29,Jones et al. 2009,-0.14,1404.3,24.4,1291.4,1553.2,Jones et al. 2009,0.010,Jones et al. 2009,,,,10,0,,,1.277,Plavcan & Ruff 2008,,,,,
Galagoides_zanzibaricus,Galagidae,Galagoides,zanzibaricus,3.51,3.75,Isler et al 2008,149.0,137.0,1.088,Isler et al 2008,,,,,,182.5,120,59.27,,1.3,Jones et al. 2009,-11.84,760.0,24.0,888.6,1571.0,Jones et al. 2009,0.010,Jones et al. 2009,1.76,Pontzer and Kamilar 2006,15.5976,,,,,1.106,Plavcan & Ruff 2008,,,,,
Gorilla_beringei,Hominidae,Gorilla,beringei,491.27,480.15,Isler et al 2008,162500.0,97500.0,1.667,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorilla_gorilla,Hominidae,Gorilla,gorilla,490.41,455.89,Isler et al 2008,170400.0,71500.0,2.383,Isler et al 2008,7.1,1.8,4.4,2.44,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,1430.8,256,920.35,648,1.05,Jones et al. 2009,0.88,1528.8,24.2,1291.1,1502.7,Jones et al. 2009,4.030,Jones et al. 2009,0.86,Nunn et al. 2003,0.3797,11,93,0,Nunn et al 2003,1.739,Plavcan & Ruff 2008,52.60,9.55,35.50,5.8,wendy dataset; Sussman et al. 2005
Hapalemur_aureus,Lemuridae,Hapalemur,aureus,,,,,,,,3,,,,Kappeler 1997,365,142.5,135,,1.01,Jones et al. 2009,-21.66,1654.5,18.5,1321.4,1516.9,Jones et al. 2009,0.210,Jones et al. 2009,0.4,Pontzer and Kamilar 2006,0.7736,,,,,,,,,,,
Hapalemur_griseus,Lemuridae,Hapalemur,griseus,14.09,13.99,Isler et al 2008,748.0,670.0,1.116,Isler et al 2008,4.4,1,1,1.00,Kamilar 2006; Nunn & van Schaik 2000,334.58,140,136.29,205.2,1.5,Jones et al. 2009,-19.45,1772.8,19.7,1338.7,1594.7,Jones et al. 2009,0.010,Jones et al. 2009,0.43,Pontzer and Kamilar 2006,3.8108,,,,,1.005,Plavcan & Ruff 2008,,,,,
Hapalemur_griseus_alaotrensis,Lemuridae,Hapalemur,griseus_alaotrensis,13.80,,Isler et al 2008,1228.0,1251.0,0.982,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hapalemur_simus,Lemuridae,Hapalemur,simus,,,,2150.0,1300.0,1.654,Smith and Jungers 1997,7,1,1,1.00,Kappeler 1997,,142,,144,1,Jones et al. 2009,-21.76,1746.4,18.9,1334.9,1505.3,Jones et al. 2009,0.620,Jones et al. 2009,,,,,,,,,,30.60,20.30,33.60,,Kamilar 2006
Hylobates_agilis,Hylobatidae,Hylobates,agilis,91.16,90.93,Isler et al 2008,5880.0,5820.0,1.010,Isler et al 2008,,1,1,1.00,Nunn & van Schaik 2000,1138,,724,528,1.02,Jones et al. 2009,0.16,2398.0,25.4,1743.6,1792.0,Jones et al. 2009,0.290,Gittins 1982,1.3,Gittins 1982,2.1394,58,39,1,Gittins 1982; Kappeler & Pereira 2003,,,,,,,
Hylobates_klossii,Hylobatidae,Hylobates,klossii,87.99,90.55,Isler et al 2008,5670.0,5920.0,0.958,Isler et al 2008,,0.9,1,1.11,Nunn & van Schaik 2000,,213,335,444,1,Jones et al. 2009,,,,,,,0.320,Whitten 1984,1.5,Whitten 1984,2.3500,72,2,26,Whitten 1984; Kappeler & Pereira 2003,0.966,Plavcan & Ruff 2008,,,,,
Hylobates_lar,Hylobatidae,Hylobates,lar,101.87,100.49,Isler et al 2008,5809.2,5380.9,1.080,Isler et al 2008,3.3,1,1,1.00,van Schaik et al. 1999; Nunn & van Schaik 2000,983.67,217,725.86,480,1.01,Jones et al. 2009,13.68,1727.4,23.0,1278.1,1612.3,Jones et al. 2009,0.320,Jones et al. 2009,1.6,Nunn et al. 2003,2.5066,64,24.7,9.7,Campbell et al. 2007; Kappeler & Pereira 2003,1.160,Plavcan & Ruff 2008,33.87,23.33,33.10,7.57,Kamilar 2006
Hylobates_moloch,Hylobatidae,Hylobates,moloch,,,,6580,6250,1.053,Smith and Jungers 1997,,,,,,730,243,724,540,1,Jones et al. 2009,-7,2119.1,23.8,1601.1,1755.4,Jones et al. 2009,0.120,Jones et al. 2009,1.4,Kappeler 1984,3.5816,61,38,0,Campbell et al. 2007,,,,,,,
Hylobates_muelleri,Hylobatidae,Hylobates,muelleri,85.13,86.95,Isler et al 2008,5632.3,6010.3,0.937,Isler et al 2008,,,,,,1095,206.7,,684,1.02,Jones et al. 2009,1.13,2665.3,24.0,1679.4,1707.8,Jones et al. 2009,0.260,Jones et al. 2009,0.9,Leighton 1987,1.5642,62,32,2,Campbell et al. 2007; Kappeler & Pereira 2003,,,,,,4,Sussman et al. 2005
Hylobates_pileatus,Hylobatidae,Hylobates,pileatus,84.69,83.83,Isler et al 2008,5500.0,5440.0,1.011,Isler et al 2008,,1,1,1.00,Nunn & van Schaik 2000,,228,635.13,432,1,Jones et al. 2009,12.92,1576.0,26.0,1202.4,1711.5,Jones et al. 2009,0.230,Jones et al. 2009,1.3,Campbell et al. 2007,2.4023,67.5,20,11,Campbell et al. 2007,0.993,Plavcan & Ruff 2008,,,,,
Indri_indri,Indriidae,Indri,indri,34.81,34.14,Isler et al 2008,5830.0,6840.0,0.852,Isler et al 2008,3.2,1,1,1.00,van Schaik et al. 1999; Nunn & van Schaik 2000,912.5,136.5,331.34,,1.01,Jones et al. 2009,-17.23,1871.1,20.0,1342.6,1594.8,Jones et al. 2009,0.120,Jones et al. 2009,0.25,Pontzer and Kamilar 2006,0.6396,43,57,,,0.996,Plavcan & Ruff 2008,42.00,3.00,50.00,1.50,Powzyk 1997
Lagothrix_lagotricha,Atelidae,Lagothrix,lagotricha,96.50,98.00,Isler et al 2008,7280.0,7020.0,1.037,Isler et al 2008,33.1,7.3,8.2,1.12,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,638.75,223,312.66,360,1.01,Jones et al. 2009,0.02,2265.6,25.8,1516.9,1543.4,Jones et al. 2009,2.820,Jones et al. 2009,1.1,Nunn et al. 2003,0.5805,78.9,11.4,4.9,Campbell et al. 2007; Kappeler & Pereira 2003,1.770,Plavcan & Ruff 2008,25.80,38.80,29.90,5.50,Campbell et al. 2007
Lemur_catta,Lemuridae,Lemur,catta,22.90,19.75,Isler et al 2008,2210.0,2210.0,1.000,Isler et al 2008,17,5.2,6.4,1.23,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,468.41,135,126.51,360,1.18,Jones et al. 2009,-23.05,629.4,23.0,839.1,1636.6,Jones et al. 2009,0.050,Jones et al. 2009,0.9,Pontzer and Kamilar 2006,3.5670,54,43.6,0?,,1.186,Plavcan & Ruff 2008,,,,4.6,Sussman et al. 2005
Leontopithecus_chrysomelas,Cebidae,Leontopithecus,chrysomelas,11.84,11.86,Isler et al 2008,610.0,700.0,0.871,Isler et al 2008,6.7,1.6,1,0.63,,,,,255.6,2.04,Jones et al. 2009,-15.01,1531.2,22.4,1385.5,1596.7,Jones et al. 2009,0.240,Jones et al. 2009,,,,,,,,,,,,,9.1,Sussman et al. 2005
Leontopithecus_chrysopygus,Cebidae,Leontopithecus,chrysopygus,,,,,,,,3.6,,,,Kamilar 2006,,,,214.8,,,-21.99,1272.6,21.9,1229.4,1390.2,Jones et al. 2009,0.830,Jones et al. 2009,,,,,,,,,,35.8,33,14.4,,Kamilar 2006
Leontopithecus_rosalia,Cebidae,Leontopithecus,rosalia,12.83,12.67,Isler et al 2008,620.0,598.0,1.037,Isler et al 2008,5.4,1.8,1.5,0.83,Garber et al. 2008,182.5,128,75.69,297.6,1.94,Jones et al. 2009,-22.1,1283.2,20.7,1231.5,1476.7,Jones et al. 2009,0.260,Jones et al. 2009,1.44,Pontzer and Kamilar 2006,2.5028,,,,,,,,,,5.4,Sussman et al. 2005
Lepilemur_dorsalis,Lepilemuridae,Lepilemur,dorsalis,6.70,6.70,Isler et al 2008,817.0,923.0,0.885,Isler et al 2008,1,1,1,1.00,Kappeler 1997,,,,,1.01,Jones et al. 2009,-13.79,1332.8,20.2,1240.4,1623.7,Jones et al. 2009,,,,,,,,,,,,,,,,
Lepilemur_edwardsi,Lepilemuridae,Lepilemur,edwardsi,7.25,8.00,Isler et al 2008,928.0,934.0,0.994,Isler et al 2008,2,,,,Kamilar 2006,,,,,,,-17.31,1142.0,25.5,963.2,1571.2,Jones et al. 2009,0.008,Jones et al. 2009,,,,,,,,,,,,,,
Lepilemur_leucopus,Lepilemuridae,Lepilemur,leucopus,6.87,6.80,Isler et al 2008,617.0,594.0,1.039,Isler et al 2008,1,1,1,,Kappeler 1997,,135.92,121.66,103,1.01,Jones et al. 2009,-24.5,568.2,23.1,803.2,1741.5,Jones et al. 2009,0.002,Jones et al. 2009,,,,,,,,1.123,Plavcan & Ruff 2008,,,,,
Lepilemur_microdon,Lepilemuridae,Lepilemur,microdon,,,,,,,,,,,,,,,,,,,-21.5,1830.0,19.7,1311.1,1556.5,Jones et al. 2009,,,,,,,,,,,,,,,,
Lepilemur_mustelinus,Lepilemuridae,Lepilemur,mustelinus,,,,,,,,1,1,1,,Kappeler 1997,,135,76.21,144,1,Jones et al. 2009,-15.86,1736.1,19.9,1388.5,1668.7,Jones et al. 2009,0.003,Jones et al. 2009,,,,,,,,1.332,Plavcan & Ruff 2008,,,,,
Lepilemur_ruficaudatus,Lepilemuridae,Lepilemur,ruficaudatus,8.25,7.00,Isler et al 2008,806.0,803.0,1.004,Isler et al 2008,1,1,1,,Kappeler 1997,,135.92,119.32,,1.02,Jones et al. 2009,-21.58,578.9,23.9,789.1,1602.6,Jones et al. 2009,0.008,Campbell et al. 2007,,,,,,,,1.179,Plavcan & Ruff 2008,,,,,
Lophocebus_albigena,Cercopithecidae,Lophocebus,albigena,93.97,89.96,Isler et al 2008,7890.0,6010.0,1.313,Isler et al 2008,15.8,4.3,7.8,1.81,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,770.15,181,211.71,392.4,1.01,Jones et al. 2009,0.22,1416.8,23.8,1349.5,1566.9,Jones et al. 2009,1.980,Jones et al. 2009,1.2,Nunn et al. 2003,0.7558,64,5,14,Nunn et al 2003; Kappeler & Pereira 2003,2.187,Plavcan & Ruff 2008,37.50,27.50,12.00,6.25,Kamilar 2006
Lophocebus_aterrimus,Cercopithecidae,Lophocebus,aterrimus,101.59,91.00,Isler et al 2008,7840.0,5760.0,1.361,Isler et al 2008,,,,,,,,,321.6,,Jones et al. 2009,-1.65,1578.1,25.1,1520.1,1594.9,Jones et al. 2009,0.340,Jones et al. 2009,,,,,,,,1.897,Plavcan & Ruff 2008,,,,,
Loris_lydekkerianus,Lorisidae,Loris,lydekkerianus,6.34,6.53,Isler et al 2008,264.0,269.0,0.981,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,35.60,36.40,23.00,Campbell et al. 2007
Loris_tardigradus,Lorisidae,Loris,tardigradus,5.87,5.93,Isler et al 2008,192.0,193.0,0.995,Isler et al 2008,2,1,1,1.00,van Schaik et al. 1999,182.5,166,167.49,196.8,1.44,Jones et al. 2009,6.75,1472.7,25.2,1550.5,1555.0,Jones et al. 2009,0.007,Jones et al. 2009,,,,,,,,0.985,Plavcan & Ruff 2008,,,,,
Macaca_arctoides,Cercopithecidae,Macaca,arctoides,100.70,99.80,Isler et al 2008,12200.0,8400.0,1.452,Isler et al 2008,31.1,,,,Ashmore 1992,558,177,299,350.4,1,Jones et al. 2009,,,,,,,,,1.7,Pontzer and Kamilar 2006,,,,,,,,,,,,
Macaca_assamensis,Cercopithecidae,Macaca,assamensis,90.46,88.30,Isler et al 2008,11300.0,6900.0,1.638,Isler et al 2008,,,,,,,,,376.8,,,23.01,1475.6,14.2,1020.6,1260.0,Jones et al. 2009,,,,,,,,,,,,,,,,
Macaca_cyclopis,Cercopithecidae,Macaca,cyclopis,82.00,73.00,Isler et al 2008,6000.0,4940.0,1.215,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,53.8,29.1,9.8,Campbell et al. 2007,,,,,,,
Macaca_fascicularis,Cercopithecidae,Macaca,fascicularis,63.98,62.14,Isler et al 2008,4984.2,3517.9,1.417,Isler et al 2008,27.5,4.7,10.6,2.26,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,398.45,165,283.53,456,1,Jones et al. 2009,4.13,2190.5,24.9,1553.1,1719.8,Jones et al. 2009,0.460,Jones et al. 2009,1.5,Nunn et al. 2003,1.9600,76.8,9.4,4,Campbell et al. 2007,2.258,Plavcan & Ruff 2008,18.50,36.90,42.90,1.50,Kamilar 2006
Macaca_fuscata,Cercopithecidae,Macaca,fuscata,102.92,96.78,Isler et al 2008,10970.0,8030.0,1.366,Isler et al 2008,53.7,3.4,17.5,5.15,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,486.66,174,265.04,396,1.02,Jones et al. 2009,35.88,1476.6,10.2,792.6,842.5,Jones et al. 2009,1.430,Jones et al. 2009,0.93,Nunn et al. 2003,0.6892,22.9,23.7,7,Campbell et al. 2007,2.040,Plavcan & Ruff 2008,43.30,19.90,20.10,15.20,Kamilar 2006
Macaca_leonina,Cercopithecidae,Macaca,leonina,85.60,82.12,Isler et al 2008,6520.5,4762.7,1.369,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_mulatta,Cercopithecidae,Macaca,mulatta,88.98,84.26,Isler et al 2008,7915.1,5670.5,1.396,Isler et al 2008,40.7,4.5,23.8,5.29,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,385.5,165,304.16,432,1.01,Jones et al. 2009,25.07,1173.6,16.9,902.2,1218.0,Jones et al. 2009,5.910,Jones et al. 2009,1.6,Nunn et al. 2003,0.5833,8.5,84.4,0,Campbell et al. 2007,2.072,Plavcan & Ruff 2008,46.00,11.50,25.00,,Ashmore 1992
Macaca_nemestrina,Cercopithecidae,Macaca,nemestrina,105.59,100.65,Isler et al 2008,11102.7,6539.2,1.698,Isler et al 2008,18.2,2.4,14.9,6.21,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,405.07,172,292.6,411.6,1.01,Jones et al. 2009,3.04,2449.8,24.7,1680.5,1732.2,Jones et al. 2009,1.750,Jones et al. 2009,1.8,Nunn et al. 2003,1.2059,74.2,11.1,12.2,Campbell et al. 2007,2.360,Plavcan & Ruff 2008,,,,,
Macaca_nigra,Cercopithecidae,Macaca,nigra,94.9,84.50,Isler et al 2008,9890.0,5470.0,1.808,Isler et al 2008,63.8,5.8,20.2,3.48,Kamilar 2006,540,176,365,408,1,Jones et al. 2009,,,,,,,,,6,Pontzer and Kamilar 2006,,,3,32,Nunn et al 2003,2.612,Plavcan & Ruff 2008,36.20,22.50,19.50,21.70,Kamilar 2006
Macaca_ochreata,Cercopithecidae,Macaca,ochreata,,,,4200.0,2600.0,1.615,Isler et al 2008,,,,,,,,,348,,Jones et al. 2009,,,,,,,,,,,,,,,,,,,,,,
